,0,1
0,3538.wav,1.9035499095916748
1,3479.wav,1.933955430984497
2,1371.wav,1.9183428287506104
3,3899.wav,1.9119431972503662
4,0936.wav,1.9299304485321045
5,0133.wav,1.9419676065444946
6,1819.wav,1.91484797000885
7,3289.wav,1.9083162546157837
8,0958.wav,1.9060958623886108
9,0424.wav,1.938213586807251
10,3839.wav,1.935551643371582
11,1764.wav,1.8971821069717407
12,1392.wav,1.9017648696899414
13,1506.wav,1.900605320930481
14,1924.wav,1.9165358543395996
15,0359.wav,1.8990429639816284
16,2277.wav,1.9127916097640991
17,0549.wav,1.9251368045806885
18,0344.wav,1.9261753559112549
19,3091.wav,1.9221323728561401
20,0653.wav,1.9044122695922852
21,2496.wav,1.9213144779205322
22,3176.wav,1.943953514099121
23,3032.wav,1.9102264642715454
24,3947.wav,1.9414656162261963
25,0094.wav,1.906930923461914
26,0334.wav,1.9085410833358765
27,3642.wav,1.9470407962799072
28,1125.wav,1.9267759323120117
29,2293.wav,1.9335486888885498
30,0377.wav,1.901418685913086
31,0679.wav,1.9236421585083008
32,0644.wav,1.92331063747406
33,2932.wav,1.9390455484390259
34,3851.wav,1.9084116220474243
35,3530.wav,1.9433422088623047
36,1551.wav,1.9088035821914673
37,2198.wav,1.9449447393417358
38,0348.wav,1.9131274223327637
39,0993.wav,1.932267189025879
40,3765.wav,1.9049397706985474
41,1902.wav,1.9029812812805176
42,3075.wav,1.9217932224273682
43,0148.wav,1.9170335531234741
44,1050.wav,1.9037562608718872
45,2327.wav,1.9307631254196167
46,2449.wav,1.9246826171875
47,3664.wav,1.9475140571594238
48,3746.wav,1.914273738861084
49,3971.wav,1.9536142349243164
50,1059.wav,1.8941863775253296
51,1370.wav,1.9154767990112305
52,2159.wav,1.9162516593933105
53,3084.wav,1.898314118385315
54,0571.wav,1.9516713619232178
55,2337.wav,1.9230022430419922
56,0240.wav,1.9304503202438354
57,2084.wav,1.9470837116241455
58,3340.wav,1.9223217964172363
59,3002.wav,1.9008245468139648
60,3598.wav,1.9480791091918945
61,1605.wav,1.9109258651733398
62,2885.wav,1.9565154314041138
63,1174.wav,1.9240548610687256
64,0638.wav,1.9533789157867432
65,0779.wav,1.8950507640838623
66,0403.wav,1.9016509056091309
67,3859.wav,1.9159492254257202
68,2801.wav,1.9229360818862915
69,1314.wav,1.9152873754501343
70,1970.wav,1.9057438373565674
71,3111.wav,1.9230155944824219
72,2092.wav,1.9278029203414917
73,3718.wav,1.8926454782485962
74,0033.wav,1.930693507194519
75,3932.wav,1.9365503787994385
76,1203.wav,1.9182486534118652
77,1011.wav,1.918764352798462
78,1887.wav,1.9290380477905273
79,2455.wav,1.912144660949707
80,1568.wav,1.9270551204681396
81,0741.wav,1.933328628540039
82,3878.wav,1.9254405498504639
83,3623.wav,1.9077999591827393
84,3432.wav,1.9358620643615723
85,3186.wav,1.9066553115844727
86,0960.wav,1.906510353088379
87,3366.wav,1.9214855432510376
88,1805.wav,1.9079161882400513
89,2846.wav,1.9068002700805664
90,1006.wav,1.9105489253997803
91,0260.wav,1.8990741968154907
92,0256.wav,1.9062368869781494
93,0063.wav,1.91791570186615
94,1376.wav,1.907043218612671
95,3149.wav,1.9146549701690674
96,1042.wav,1.921334147453308
97,1572.wav,1.9465991258621216
98,2055.wav,1.898956060409546
99,3230.wav,1.9090722799301147
100,2584.wav,1.904897689819336
101,1229.wav,1.9295591115951538
102,3281.wav,1.9303501844406128
103,2078.wav,1.9307525157928467
104,2280.wav,1.9385870695114136
105,1197.wav,1.9078078269958496
106,3499.wav,1.9192633628845215
107,1071.wav,1.9116239547729492
108,3857.wav,1.9126675128936768
109,0269.wav,1.9309024810791016
110,1393.wav,1.8991270065307617
111,3984.wav,1.9364389181137085
112,3888.wav,1.9418480396270752
113,0572.wav,1.9660699367523193
114,3383.wav,1.9212610721588135
115,2865.wav,1.9042837619781494
116,0047.wav,1.9030064344406128
117,3016.wav,1.9008203744888306
